20,1,0.27891
28,1,0.19429
34,1,5.0431
42,1,0.92349
66,1,0.53427
97,1,2.026
174,1,0.76358
205,1,1.1748
370,1,3.3594
469,1,4.6057
512,1,0.99909
542,1,5.6102
585,1,1.7461
589,1,3.3651
595,1,1.7039
662,1,2.8612
780,1,3.4988
937,1,4.8947
982,1,4.0371
1292,1,2.9987
1595,1,4.2392
1770,1,5.8839
1862,1,5.1621
1888,1,6.6281
1894,1,4.9388
2293,1,4.4824
2690,1,4.8572
3025,1,5.8947
3088,1,4.4265
3600,1,6.9958
5325,1,5.1621
5843,1,7.4906
6211,1,7.7021
6254,1,5.3878
6327,1,8.3651
10,2,0.79512
20,2,0.55782
22,2,0.97201
24,2,0.53326
25,2,1.6785
28,2,0.58286
35,2,0.4824
36,2,1.6102
39,2,1.3988
40,2,4.5622
42,2,0.92349
43,2,0.92038
49,2,2.0192
58,2,3.428
59,2,1.8298
65,2,3.036
66,2,1.6028
79,2,2.9812
80,2,1.3745
84,2,1.5417
97,2,1.013
124,2,1.2358
161,2,1.4206
174,2,0.76358
191,2,2.4333
200,2,2.7839
232,2,12.671
237,2,1.92
262,2,14.184
267,2,3.3482
316,2,1.5518
322,2,1.0027
323,2,0.80471
336,2,2.4099
337,2,3.4722
378,2,2.5513
415,2,6.1556
426,2,3.9813
472,2,2.8479
488,2,5.4568
491,2,6.5854
492,2,1.3599
508,2,2.7788
510,2,1.0159
514,2,0.80503
555,2,6.8686
563,2,2.3859
564,2,6.4582
569,2,4.8679
571,2,8.6281
575,2,4.9834
593,2,3.1674
622,2,2.4564
630,2,1.6046
657,2,3.3098
679,2,8.5088
694,2,2.9627
702,2,3.714
708,2,3.2153
780,2,6.9976
1000,2,2.6997
1011,2,3.8493
1012,2,5.0134
1058,2,4.6462
1101,2,6.1818
1120,2,2.5237
1121,2,8.5577
1133,2,3.3445
1135,2,5.4906
1148,2,4.9388
1174,2,6.3954
1182,2,7.3954
1196,2,16.184
1258,2,5.0431
1290,2,5.6926
1386,2,5.3878
1396,2,1.998
1526,2,8.8626
1530,2,5.9166
1714,2,6.5237
1873,2,5.4824
2116,2,6.2496
2297,2,5.8311
2826,2,5.6926
2892,2,4.9557
3079,2,6.9958
3410,2,7.7406
3486,2,11.621
3525,2,6.1045
4033,2,16.73
4168,2,6.7406
4569,2,8.7021
4687,2,5.8105
4756,2,15.811
4884,2,16.73
4914,2,18.923
5085,2,6.1687
5494,2,7.1687
6268,2,17.56
10,3,2.3854
20,3,1.9524
21,3,2.0689
22,3,1.944
24,3,1.2951
25,3,0.83923
26,3,2.9458
28,3,0.19429
35,3,0.96481
39,3,3.4971
40,3,4.5622
41,3,13.435
42,3,1.847
43,3,2.7611
49,3,1.6154
53,3,2.4532
58,3,1.1426
65,3,1.518
68,3,1.9749
84,3,1.5417
97,3,2.026
98,3,18.459
111,3,2.0208
113,3,0.81622
134,3,3.3298
161,3,0.94703
163,3,2.9384
205,3,2.3496
214,3,6.1747
221,3,1.7092
237,3,3.8401
250,3,2.6303
286,3,4.407
291,3,3.5513
296,3,1.9987
302,3,3.8053
308,3,2.5717
316,3,4.6554
317,3,4.2122
323,3,2.4141
324,3,3.0297
325,3,1.7927
326,3,2.8266
329,3,2.575
360,3,5.2472
424,3,2.4905
426,3,3.9813
461,3,3.8003
491,3,2.1951
510,3,1.0159
514,3,1.6101
553,3,2.5881
595,3,3.4077
603,3,3.8812
606,3,2.2035
614,3,6.2221
622,3,0.8188
630,3,1.6046
659,3,1.962
